2026-04-25 00:51:49 INFO  SELL_EXECUTED [US] ETHU mode=EARLY_MOMENTUM phase=EXITING exitType=TIMESTOP price=26.8991 qty=5 reason=TIME_STOP_SOFT pnl=-0.08% peakPnl=0.04% holdMs=327337 high=26.9300 avgPrice=26.9200 weightedPnl=-0.03% dailyPnl=-0.03%
2026-04-25 00:51:53 WARN  SELL_REJECTED ETHU reason=TIME_STOP_SOFT rolledBack=partialDone:false phase=HOLDING
2026-04-25 00:51:54 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:51:54 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:51:59 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:51:59 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:51:59 INFO  SELL_EXECUTED [US] ETHU mode=EARLY_MOMENTUM phase=EXITING exitType=TIMESTOP price=26.8991 qty=5 reason=TIME_STOP_SOFT pnl=-0.08% peakPnl=0.04% holdMs=337442 high=26.9300 avgPrice=26.9200 weightedPnl=-0.03% dailyPnl=-0.03%
2026-04-25 00:51:59 WARN  SELL_REJECTED ETHU reason=TIME_STOP_SOFT rolledBack=partialDone:false phase=HOLDING
2026-04-25 00:52:04 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:52:05 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:52:05 INFO  SELL_EXECUTED [US] ETHU mode=EARLY_MOMENTUM phase=EXITING exitType=TIMESTOP price=26.8991 qty=5 reason=TIME_STOP_SOFT pnl=-0.08% peakPnl=0.04% holdMs=342614 high=26.9300 avgPrice=26.9200 weightedPnl=-0.03% dailyPnl=-0.03%
2026-04-25 00:52:09 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:52:10 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:52:14 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:52:15 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-25 00:52:19 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:52:24 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:52:29 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:52:34 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:52:39 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:52:44 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:52:49 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:52:54 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:52:59 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:53:04 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:53:09 INFO  BUY_FILLED SMU phase=HOLDING
