2026-05-09 01:53:46 INFO  BUY amount set for SOXS: 250.00
2026-05-09 01:53:46 INFO  BUY amount set for SMU: 250.00
2026-05-09 01:53:46 INFO  BUY amount set for SOXL: 250.00
2026-05-09 01:53:46 INFO  BUY amount set for TSLL: 250.00
2026-05-09 01:53:47 INFO  BUY amount set for ETHU: 250.00
2026-05-09 02:01:05 WARN  BUY_SKIP [US] SOXL reason=AMOUNT_TOO_SMALL amount=250.0000 size=0.8000x price=174.4700
2026-05-09 02:01:05 INFO  BUY [US] ETHU mode=VOLUME_BREAKOUT price=25.9100 qty=7 size=0.8000x score=95(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(1.60x) | VWAP: 0.08%(ABOVE slope=UP) | TREND: score=3 vel=0.13%/0.10%/0.14% | VOL: 1023114.0000/638587.8750 TO: 26503768.1700/16528573.2985 | entryNo=1
2026-05-09 02:01:05 WARN  BUY_REJECTED ETHU phase=NONE
2026-05-09 02:02:06 WARN  BUY_SKIP [US] SOXL reason=AMOUNT_TOO_SMALL amount=250.0000 size=0.8000x price=174.8100
2026-05-09 02:04:08 INFO  BUY [US] AAPD mode=VOLUME_BREAKOUT price=12.1400 qty=16 size=0.8000x score=95(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(1.85x) | VWAP: 0.11%(ABOVE slope=UP) | TREND: score=3 vel=0.12%/0.12%/0.12% | VOL: 1786899.0000/963974.1818 TO: 21684019.3650/11685000.8432 | entryNo=1
2026-05-09 02:04:08 WARN  BUY_REJECTED AAPD phase=NONE
2026-05-09 02:05:09 INFO  BUY [US] ETHU mode=BREAKOUT price=26.0200 qty=7 size=0.8000x score=85(CONV) | WHY: strongBreakout retestOK multiUp vol(1.51x) | VWAP: 0.35%(ABOVE slope=UP) | TREND: score=3 vel=0.13%/0.23%/0.50% | VOL: 1034023.0000/683531.7500 TO: 26894938.2300/17716454.0127 | entryNo=2
2026-05-09 02:05:09 WARN  BUY_REJECTED ETHU phase=NONE
2026-05-09 02:05:09 WARN  BUY_SKIP [US] SOXL reason=AMOUNT_TOO_SMALL amount=250.0000 size=0.8000x price=175.7300
2026-05-09 02:05:24 WARN  BUY_SKIP [US] SOXL reason=AMOUNT_TOO_SMALL amount=250.0000 size=0.8000x price=175.6600
2026-05-09 02:06:05 INFO  BUY [US] AMZU mode=VOLUME_BREAKOUT price=45.2600 qty=5 size=1.0000x score=95(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(2.61x) | VWAP: 0.31%(ABOVE slope=UP) | TREND: score=3 vel=0.13%/0.18%/0.42% | VOL: 1421636.0000/544186.8462 TO: 64343245.3600/24552787.3017 | entryNo=1
2026-05-09 02:06:05 WARN  BUY_REJECTED AMZU phase=NONE
2026-05-09 02:07:06 INFO  BUY [US] NFLX mode=VOLUME_BREAKOUT price=87.6000 qty=2 size=0.8000x score=87(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(2.02x) | VWAP: 0.01%(ABOVE slope=UP) | TREND: score=3 vel=0.03%/0.08%/0.02% | VOL: 10400794.0000/5144608.2857 TO: 911005546.4600/450585463.9323 | entryNo=1
2026-05-09 02:07:06 WARN  BUY_REJECTED NFLX phase=NONE
2026-05-09 02:10:34 INFO  BUY amount set for NFLX: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for GOOD: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for AAPU: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for AAPD: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for GOOX: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for META: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for AMZD: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for AMZU: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for WEBS: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for WEBL: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for BERZ: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for BULZ: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for LABU: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for LABD: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for SQQQ: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for TQQQ: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for NVDQ: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for TSLQ: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for BAIG: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for SMCX: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for NVDL: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for SOXS: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for SOXL: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for SMU: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for TSLL: 300.00
2026-05-09 02:10:34 INFO  BUY amount set for ETHU: 300.00
2026-05-09 02:19:24 WARN  BUY_SKIP [US] META reason=AMOUNT_TOO_SMALL amount=300.0000 size=0.8000x price=609.8600
