2026-04-23 00:16:11 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:16:16 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:16:21 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:16:26 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:16:31 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:16:36 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:16:41 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:16:46 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:16:52 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:16:57 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:17:02 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:17:07 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:17:12 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:17:17 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:17:22 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:17:27 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:17:32 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:17:37 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:17:42 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:17:47 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:17:52 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:17:57 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:18:02 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:18:07 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:18:12 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:18:17 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:18:22 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:18:27 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:18:32 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:18:37 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:18:42 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:18:47 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:18:52 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:18:57 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:19:02 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:19:07 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:19:12 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:19:17 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:19:22 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:19:27 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:19:32 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:19:38 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:19:43 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:19:48 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:19:53 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:19:58 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:20:03 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:20:08 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:20:13 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:20:18 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:20:23 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:20:28 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:20:33 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:20:38 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:20:43 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:20:48 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:20:53 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:20:58 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:21:03 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:21:08 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:21:13 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:21:18 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:21:23 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:21:28 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:21:33 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:21:38 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:21:43 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:21:48 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:21:53 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:21:58 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:22:04 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:22:09 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:22:09 INFO  BUY [US] SOXL mode=VOLUME_BREAKOUT price=102.9000 qty=2 size=1.0000x score=95(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(9.95x) | VWAP: 0.99%(ABOVE slope=UP) | TREND: score=3 vel=0.11%/0.14%/0.25% | VOL: 13963594.0000/1403157.1000 TO: 1436293882.4806/143929339.7492 | entryNo=1
2026-04-23 00:22:09 WARN  BUY_REJECTED SOXL phase=NONE
2026-04-23 00:22:14 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:22:19 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:22:24 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:22:29 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:22:34 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:22:39 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:22:44 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:22:49 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:22:54 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:22:59 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:23:04 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:23:09 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:23:14 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:23:19 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:23:24 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:23:29 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:23:34 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:23:39 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:23:44 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:23:49 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:23:54 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:23:59 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:24:04 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:24:09 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:24:14 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:24:19 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:24:24 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:24:29 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:24:35 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:24:40 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:24:45 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:24:50 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:24:55 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:25:00 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:25:05 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:25:10 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:25:10 INFO  SELL_EXECUTED [US] NVDL mode=VOLUME_BREAKOUT phase=EXITING exitType=TIMESTOP price=96.1500 qty=3 reason=TIME_STOP_HARD pnl=0.32% weightedPnl=0.31% dailyPnl=-1.47%
2026-04-23 00:25:13 WARN  SELL_REJECTED NVDL reason=TIME_STOP_HARD rolledBack=partialDone:false phase=HOLDING
2026-04-23 00:25:15 INFO  BUY_FILLED NVDL phase=HOLDING
2026-04-23 00:49:05 INFO  BUY [US] AXTI mode=VOLUME_BREAKOUT price=80.6600 qty=2 size=0.8000x score=95(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(2.05x) | VWAP: 1.20%(ABOVE slope=UP) | TREND: score=3 vel=0.59%/1.14%/1.70% | VOL: 27155.0000/13223.4000 TO: 2187612.2310/1055883.6357 | entryNo=2
2026-04-23 00:49:06 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:49:10 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:49:15 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:49:20 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:49:25 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:49:30 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:49:35 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:49:40 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:49:45 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:49:50 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:49:55 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:50:00 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:50:06 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:50:11 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:50:16 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:50:21 INFO  BUY [US] POET mode=VOLUME_BREAKOUT price=12.0700 qty=19 size=0.8000x score=95(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(2.13x) | VWAP: 0.19%(ABOVE slope=UP) | TREND: score=3 vel=0.41%/0.29%/1.55% | VOL: 166862.0000/78256.6500 TO: 2014858.6500/944632.3558 | entryNo=1
2026-04-23 00:50:21 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:50:21 WARN  BUY_REJECTED POET phase=NONE
2026-04-23 00:50:26 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:50:31 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:50:36 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:50:41 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:50:46 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:50:51 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:50:56 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:51:01 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:51:06 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:51:11 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:51:16 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:51:21 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:51:26 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:51:31 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:51:36 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:51:41 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:51:46 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:51:51 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:51:56 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:52:01 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:52:06 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:52:11 INFO  BUY_FILLED AXTI phase=HOLDING
