2026-05-05 00:13:00 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:13:05 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:13:10 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:13:15 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:13:20 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:13:25 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:13:30 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:13:35 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:13:40 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:13:45 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:13:51 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:13:56 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:14:01 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:14:06 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:14:11 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:14:16 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:14:21 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:14:21 INFO  SELL [BREAKEVEN_GUARD] AXTI pnl=-0.17% peakPnl=0.90% holdMs=493515
2026-05-05 00:14:21 INFO  SELL_EXECUTED [US] AXTI mode=BREAKOUT phase=EXITING exitType=TRAIL price=97.6360 qty=2 reason=BREAKEVEN_GUARD pnl=-0.17% peakPnl=0.90% holdMs=493515 high=98.6800 avgPrice=97.8000 weightedPnl=-0.11% dailyPnl=1.00%
2026-05-05 00:14:25 WARN  SELL_REJECTED AXTI reason=BREAKEVEN_GUARD rolledBack=partialDone:false phase=HOLDING
2026-05-05 00:14:26 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:14:36 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:14:41 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:14:47 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:14:52 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:14:52 INFO  SELL [BREAKEVEN_GUARD] AXTI pnl=-0.14% peakPnl=0.90% holdMs=524055
2026-05-05 00:14:52 INFO  SELL_EXECUTED [US] AXTI mode=BREAKOUT phase=EXITING exitType=TRAIL price=97.6582 qty=2 reason=BREAKEVEN_GUARD pnl=-0.14% peakPnl=0.90% holdMs=524055 high=98.6800 avgPrice=97.8000 weightedPnl=-0.09% dailyPnl=1.01%
2026-05-05 00:14:52 WARN  SELL_REJECTED AXTI reason=BREAKEVEN_GUARD rolledBack=partialDone:false phase=HOLDING
2026-05-05 00:14:57 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:14:57 INFO  SELL [BREAKEVEN_GUARD] AXTI pnl=-0.11% peakPnl=0.90% holdMs=529283
2026-05-05 00:14:57 INFO  SELL_EXECUTED [US] AXTI mode=BREAKOUT phase=EXITING exitType=TRAIL price=97.6950 qty=2 reason=BREAKEVEN_GUARD pnl=-0.11% peakPnl=0.90% holdMs=529283 high=98.6800 avgPrice=97.8000 weightedPnl=-0.07% dailyPnl=1.03%
2026-05-05 00:15:02 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:15:07 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:15:12 INFO  BUY_FILLED AXTI phase=HOLDING
2026-05-05 00:15:12 WARN  SELL pending timeout cleared for AXTI
2026-05-05 00:15:12 INFO  SELL [BREAKEVEN_GUARD] AXTI pnl=-0.01% peakPnl=0.90% holdMs=544541
2026-05-05 00:15:12 INFO  SELL_EXECUTED [US] AXTI mode=BREAKOUT phase=EXITING exitType=TRAIL price=97.7900 qty=2 reason=BREAKEVEN_GUARD pnl=-0.01% peakPnl=0.90% holdMs=544541 high=98.6800 avgPrice=97.8000 weightedPnl=-0.01% dailyPnl=1.10%
2026-05-05 00:52:07 INFO  BUY [US] SQQQ mode=VOLUME_BREAKOUT price=50.9200 qty=5 size=1.0000x score=95(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(4.20x) | VWAP: 1.03%(ABOVE slope=UP) | TREND: score=3 vel=0.19%/0.22%/0.34% | VOL: 27963424.0000/6657908.3500 TO: 1422499378.8800/337822688.3618 | entryNo=1
2026-05-05 00:52:08 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:52:13 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:52:18 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:52:23 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:52:28 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:52:33 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:52:38 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:52:43 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:52:48 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:52:53 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:52:58 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:53:03 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:53:09 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:53:14 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:53:19 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:53:24 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:53:29 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:53:34 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:53:39 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:53:44 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:53:49 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:53:54 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:53:59 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:54:04 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:54:10 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:54:15 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:54:20 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:54:25 INFO  BUY_FILLED SQQQ phase=HOLDING
