2026-04-22 02:49:47 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:49:52 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:49:57 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:50:02 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:50:07 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:50:12 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:50:17 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:50:22 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:50:27 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:50:32 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:50:37 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:50:42 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:50:47 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:50:52 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:50:57 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:51:02 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:51:07 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:51:13 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:51:18 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:51:23 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:51:28 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:51:33 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:51:38 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:51:43 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:51:48 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:51:53 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:51:58 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:52:03 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:52:08 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:52:13 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:52:18 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:52:23 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:52:28 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:52:33 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:52:39 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:52:44 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:52:49 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:52:54 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:52:59 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:53:04 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:53:09 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:53:14 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:53:19 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:53:24 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:53:29 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:53:34 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:53:39 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:53:44 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:53:49 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:53:54 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:53:59 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:54:05 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:54:10 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:54:15 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:54:20 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:54:25 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:54:30 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:54:35 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:54:40 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:54:45 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:54:50 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:54:55 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:55:00 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:55:05 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:55:10 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:55:10 INFO  SELL_EXECUTED [US] ETHU mode=BREAKOUT phase=EXITING exitType=TIMESTOP price=26.7000 qty=8 reason=TIME_STOP_SOFT pnl=-0.74% weightedPnl=-0.53% dailyPnl=-3.47%
2026-04-22 02:55:14 WARN  SELL_REJECTED ETHU reason=TIME_STOP_SOFT rolledBack=partialDone:false phase=HOLDING
2026-04-22 02:55:15 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:55:20 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:55:20 INFO  SELL_EXECUTED [US] ETHU mode=BREAKOUT phase=EXITING exitType=TIMESTOP price=26.7000 qty=8 reason=TIME_STOP_SOFT pnl=-0.74% weightedPnl=-0.53% dailyPnl=-4.00%
2026-04-22 02:55:20 WARN  SELL_REJECTED ETHU reason=TIME_STOP_SOFT rolledBack=partialDone:false phase=HOLDING
2026-04-22 02:55:25 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:55:25 INFO  SELL_EXECUTED [US] ETHU mode=BREAKOUT phase=EXITING exitType=TIMESTOP price=26.7000 qty=8 reason=TIME_STOP_SOFT pnl=-0.74% weightedPnl=-0.53% dailyPnl=-4.53%
2026-04-22 02:55:30 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:55:35 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:55:40 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:55:40 WARN  SELL pending timeout cleared for ETHU
2026-04-22 02:55:40 INFO  SELL_EXECUTED [US] ETHU mode=BREAKOUT phase=EXITING exitType=VWAP_BREAK price=26.6700 qty=8 reason=VWAP_BREAK pnl=-0.85% weightedPnl=-0.61% dailyPnl=-5.15%
2026-04-22 02:55:46 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:55:51 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:55:56 INFO  BUY_FILLED ETHU phase=HOLDING
2026-04-22 02:55:56 WARN  SELL pending timeout cleared for ETHU
2026-04-22 02:55:56 INFO  SELL_EXECUTED [US] ETHU mode=BREAKOUT phase=EXITING exitType=VWAP_BREAK price=26.6201 qty=8 reason=VWAP_BREAK pnl=-1.04% weightedPnl=-0.75% dailyPnl=-5.89%
