2026-05-20 22:53:15 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:53:20 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:53:30 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:53:35 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:53:41 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:53:46 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:53:51 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:53:56 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:54:01 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:54:01 INFO  SELL_EXECUTED [US] BAIG mode=EARLY_MOMENTUM phase=EXITING exitType=TIMESTOP price=32.2900 qty=3 reason=TIME_STOP_SOFT pnl=0.00% peakPnl=0.00% holdMs=300070 high=32.2900 avgPrice=32.2900 weightedPnl=0.00% (pending fill)
2026-05-20 22:54:04 WARN  SELL_REJECTED BAIG reason=TIME_STOP_SOFT phase=HOLDING
2026-05-20 22:54:07 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:54:12 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:54:12 INFO  SELL_EXECUTED [US] BAIG mode=EARLY_MOMENTUM phase=EXITING exitType=TIMESTOP price=32.2900 qty=3 reason=TIME_STOP_SOFT pnl=0.00% peakPnl=0.00% holdMs=310715 high=32.2900 avgPrice=32.2900 weightedPnl=0.00% (pending fill)
2026-05-20 22:54:12 WARN  SELL_REJECTED BAIG reason=TIME_STOP_SOFT phase=HOLDING
2026-05-20 22:54:17 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:54:17 INFO  SELL_EXECUTED [US] BAIG mode=EARLY_MOMENTUM phase=EXITING exitType=TIMESTOP price=32.2900 qty=3 reason=TIME_STOP_SOFT pnl=0.00% peakPnl=0.00% holdMs=315926 high=32.2900 avgPrice=32.2900 weightedPnl=0.00% (pending fill)
2026-05-20 22:54:22 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:54:27 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:54:33 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:54:33 WARN  SELL timeout for BAIG — issuing immediate MARKET sell qty=3
2026-05-20 22:54:38 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:54:43 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:54:48 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:54:48 WARN  SELL timeout for BAIG — issuing immediate MARKET sell qty=3
2026-05-20 22:54:48 WARN  SELL_REJECTED BAIG reason=SELL_TIMEOUT_MARKET_RETRY phase=HOLDING
2026-05-20 22:54:53 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:54:53 INFO  SELL_EXECUTED [US] BAIG mode=EARLY_MOMENTUM phase=EXITING exitType=TIMESTOP price=32.2900 qty=3 reason=TIME_STOP_SOFT pnl=0.00% peakPnl=0.00% holdMs=352047 high=32.2900 avgPrice=32.2900 weightedPnl=0.00% (pending fill)
2026-05-20 22:54:58 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:55:03 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:55:08 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:55:08 WARN  SELL timeout for BAIG — issuing immediate MARKET sell qty=3
2026-05-20 22:55:14 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:55:19 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:55:24 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:55:24 WARN  SELL timeout for BAIG — issuing immediate MARKET sell qty=3
2026-05-20 22:55:24 WARN  SELL_REJECTED BAIG reason=SELL_TIMEOUT_MARKET_RETRY phase=HOLDING
2026-05-20 22:55:29 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:55:29 INFO  SELL_EXECUTED [US] BAIG mode=EARLY_MOMENTUM phase=EXITING exitType=TIMESTOP price=32.2900 qty=3 reason=TIME_STOP_SOFT pnl=0.00% peakPnl=0.00% holdMs=388202 high=32.2900 avgPrice=32.2900 weightedPnl=0.00% (pending fill)
2026-05-20 22:55:35 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:55:40 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:55:45 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:55:45 WARN  SELL timeout for BAIG — issuing immediate MARKET sell qty=3
2026-05-20 22:55:50 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:55:55 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:56:00 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:56:00 WARN  SELL timeout for BAIG — issuing immediate MARKET sell qty=3
2026-05-20 22:56:00 WARN  SELL_REJECTED BAIG reason=SELL_TIMEOUT_MARKET_RETRY phase=HOLDING
2026-05-20 22:56:06 INFO  BUY_FILLED BAIG phase=HOLDING
